"Timestamp","Do you use the Internet?","Do you have Internet in your home/business?","Who provides your home/business Internet service?","About how much is your monthly Internet service in your home/business (excluding mobile plans)?","Do you ONLY have Internet access through a mobile data plan?","About how much is the price per month for your family's mobile service?","Do you ONLY have Internet access through the generosity of someone who is not in your household (e.g. free wifi, a neighbor, at work, the library)?","What do you dislike about your home/business Internet service? (check all that apply)","When there is a dispute with your home/business Internet provider, from which institutions can you get satisfaction? (check any that apply)","In a perfect world, how could your home/business Internet service be better (i.e. things you can't do now)?","How important is it for students to have Internet access?","How important is it for low-income families to have Internet access?","Do you support a publicly-owned telecommunications utility?","How important is user input in governance of a public telecommunications utility?","How important is it that rates pay only for utility costs?","Subscribers should subsidize access for families who can't afford home Internet access.","Taxpayers should subsidize access for families who can't afford home Internet access.","I care enough about this issue that I would financially support a campaign to create a publicly-owned telecommunications utility.","What question(s) didn't we ask that we should have, and your answer(s)?"
"2019/12/25 12:32:40 PM PST","All day, every day","Yes","Frontier (DSL)","","No","","No","Reliability;Download speed;Upload speed;Lack of network neutrality guarantees;Lack of privacy guarantees","None of these institutions can/will help","Reliable, fast","5","5","Yes","3","3","2","4","3",""
"2019/12/25 2:31:05 PM PST","All day, every day","Yes","CenturyLink (fiber)","Not sure","No","Not sure","No","Price;Customer service;Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","I don't have any idea what this question means","Unsure","5","5","Yes","5","5","5","5","4","I think the last couple questions are assuming privilege. In fact, most of this survey is. Starting with the assumption that people even know that some of their fees support lobbyists, and that internet service has anything to do with politics in the first place... Committing to say I will contribute financially aims that I have the expendable income to make that choice."
"2019/12/26 9:15:34 AM PST","All day, every day","Yes","Comcast","114","No","200","No","Price;Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","No idea","5","5","Yes","5","5","5","5","3",""
"2019/12/26 7:57:49 PM PST","All day, every day","Yes","Frontier (fiber)","200","No","120","No","Price;Lack of choices in providers;Download speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","","4","2","Yes","5","5","2","2","4",""
"2019/12/27 2:15:44 PM PST","All day, every day","Yes","Comcast","80.00","No","80.00","No","Customer service;Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Customer service response time, accuracy. I work from home sometimes and use the Internet for work.  Poor customer service can make minor problems major problems.","5","5","Yes","4","4","4","5","2",""
"2019/12/28 2:38:26 PM PST","All day, every day","Yes","Comcast","$94","No","$60","No","Price;Lack of choices in providers;Upload speed;Lack of privacy guarantees","None of these institutions can/will help","I want a credible choice of providers","5","5","Yes","5","3","4","4","4",""
"2020/01/03 1:15:09 PM PST","All day, every day","Yes","Comcast","$98","No","$100","No","Price;Customer service;Billing;Lack of choices in providers;Upload speed;Bandwidth caps;Lack of privacy guarantees","None of these institutions can/will help","Reliable service without price hikes every year and actual customer support","5","5","Yes","5","3","5","4","4",""
"2020/01/04 11:21:20 AM PST","All day, every day","Yes","Comcast","$150.00","No","$50.00","No","Price;Lack of choices in providers;Download speed;Upload speed;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","I don’t know. If a dispute arises, I try to resolve with my provider. I guess the FCC would be the next step.","Cheaper, faster and with a broader range (I do not have coverage throughout my apartment). I have to pay for cable TV services I don’t want in order to have minimum upload and download speeds. It’s a racket that I very much want to opt out of.","5","5","Yes","4","4","5","5","5","As in my remarks above, my main gripe is with the unspoken monopoly of cable service providers (non-competition between major carriers in the same market) who can charge extortionate amounts for hundreds of channels of sports and reality TV shows that I don’t want in the guise of providing a packaged bundle of valued services. I don’t want the TV and land line services: I want fast, cheap internet that reaches every room in my home without boosters."
"2020/01/08 2:34:54 PM PST","All day, every day","Yes","CenturyLink (fiber)","97.91","No","120.00","No","Price;Reliability;Customer service;Billing;Lack of choices in providers;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","US Congress;Federal Communications Commission;State legislature;Oregon Public Utilities Commission;Mount Hood Cable Regulatory Commission","Net Neutrality and consistent billing","5","5","Yes","5","5","5","5","5",""
"2020/01/08 3:40:31 PM PST","All day, every day","Yes","Comcast","","No","","No","Price","Mount Hood Cable Regulatory Commission","","5","5","Yes","5","5","5","5","","Why are we paying for cable public access community media centers with our comcast bills? That is not fair. These centers are from another time , overstaffed and seemingly not that productive. The one in Gresham, MetroEast, is very poorly run and of little real apparent benefit to the community. That money should go toward direct help to low income people and students for internet."
"2020/01/10 10:33:53 AM PST","Within the last day","Yes","CenturyLink (DSL)","$120","No","$160","No","Price;Reliability;Lack of choices in providers;Upload speed;Lack of privacy guarantees","None of these institutions can/will help","Reliable and inexpensive","4","4","Yes","5","4","5","2","3","What is the best technology for public broadband?
Fibre was the obvious answer in the last decade, but 5G may be cheaper and easier to deploy in the 2020s."
"2020/01/10 2:23:46 PM PST","Within the last day","Yes","CenturyLink (DSL)","perhaps $85 / month. Is bundled with land line phone service which adds to the rate quoted here.","No","$45 / month. Two lines only one of whic has mobile data. The other is a flip phone.","No","Price;Customer service;Lack of choices in providers;Download speed;Not a good value relative to what this costs elsewhere and little choice in cost competitive alternatives.","No disputes thus far","","5","5","Yes","3","5","4","2","3","While low income preferential pricing is a good idea, at the end of the day the implementation of this concept must deliver economic value for all subscribers relative to what is on offer today. This is an engineering and management problem more than a political one. Care must be taken to avoid the kind of covert general fund subsidy / transfer issues which have plagued Portland's water utility in the past decade. Municipal broadband must be better managed than this. "
"2020/01/13 8:14:37 AM PST","All day, every day","Yes","CenturyLink (DSL)","$90","No","$120","No","Price;Download speed;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","Federal Communications Commission","Faster speeds, more affordable","5","5","Yes","5","3","5","5","3",""
"2020/01/16 12:38:45 PM PST","All day, every day","Yes","Comcast","","","","No","","","","5","5","Yes","4","","4","5","5",""
"2020/01/16 5:18:16 PM PST","All day, every day","Yes","Comcast","60","No","250","No","Price;Download speed;Upload speed;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","","5","5","Yes","5","5","5","5","5",""
"2020/01/18 12:35:08 PM PST","All day, every day","Yes","Comcast","40","No","80","No","None.","The provider.  Capitalism is a beautiful thing. ","My service is more than adequate for what I pay and what I need.","1","1","No","2","2","1","1","1","How do you feel about our communist agenda?  "
